sku,warehouse,on_hand,uom,damaged_qty,last_counted
MSD-2018,WH3,89,EA,4,2026-08-25T06:15:00Z
MSD-2230,W2,468,EA,0,2026-08-03T06:15:00Z
MSD-2015,WH1,1140,EA,0,2026-08-05T06:15:00Z
MSD-2135,WH3,172,EA,0,2026-08-18T06:15:00Z
MSD-2108,WH2,1153,EA,0,2026-08-20T06:15:00Z
MSD-2226,WH2,731,EA,0,2026-08-09T06:15:00Z
MSD-2135,WH2,1351,EA,0,2026-07-31T06:15:00Z
MSD-2082,WH3,598,EA,0,2026-09-03T06:15:00Z
MSD-2101,WH3,174,EA,0,2026-08-04T06:15:00Z
MSD-2137,WH3,257,EA,0,2026-08-18T06:15:00Z
MSD-2178,WH3,595,EA,0,2026-08-13T06:15:00Z
MSD-2093,WH3,1363,EA,0,2026-08-06T06:15:00Z
MSD-2082,W2,523,EA,0,2026-08-18T06:15:00Z
MSD-2159,WH1,873,EA,0,2026-08-01T06:15:00Z
MSD-2193,WH2,905,EA,0,2026-08-21T06:15:00Z
MSD-2110,WH2,1329,EA,0,2026-08-06T06:15:00Z
MSD-2171,WH1,223,EA,0,2026-09-07T06:15:00Z
MSD-2237,W2,1342,EA,0,2026-08-21T06:15:00Z
MSD-2165,WH3,655,EA,0,2026-08-04T06:15:00Z
MSD-2042,WH3,339,EA,0,2026-08-30T06:15:00Z
MSD-2005,WH2,1386,EA,0,2026-08-09T06:15:00Z
MSD-2021,WH1,337,EA,0,2026-08-26T06:15:00Z
MSD-2027,WH3,1311,EA,1,2026-08-09T06:15:00Z
MSD-2106,WH3,1266,EA,0,2026-08-18T06:15:00Z
MSD-2077,WH1,812,EA,0,2026-09-01T06:15:00Z
MSD-2180,WH3,474,EA,0,2026-08-30T06:15:00Z
MSD-2192,WH1,782,EA,0,2026-08-26T06:15:00Z
MSD-2027,WH2,201,EA,0,2026-09-09T06:15:00Z
MSD-2131,WH3,59,EA,0,2026-08-08T06:15:00Z
MSD-2026,WH3,908,EA,0,2026-08-08T06:15:00Z
MSD-2160,WH1,522,EA,1,2026-08-12T06:15:00Z
MSD-2106,WH1,747,EA,0,2026-08-14T06:15:00Z
MSD-2141,WH3,0,EA,0,2026-08-13T06:15:00Z
MSD-2091,WH3,1162,EA,0,2026-08-16T06:15:00Z
MSD-2107,WH1,971,EA,0,2026-08-05T06:15:00Z
MSD-2018,WH2,74,EA,5,2026-08-16T06:15:00Z
MSD-2036,wh-1,439,EA,0,2026-09-05T06:15:00Z
MSD-2075,WH3,975,EA,0,2026-07-31T06:15:00Z
MSD-2226,WH1,1223,EA,0,2026-09-02T06:15:00Z
MSD-2038,W2,357,EA,0,2026-08-16T06:15:00Z
MSD-2179,WH1,639,EA,0,2026-09-04T06:15:00Z
MSD-2013,WH2,849,EA,0,2026-08-17T06:15:00Z
MSD-2244,WH3,1060,EA,0,2026-08-10T06:15:00Z
MSD-2218,WH2,442,EA,0,2026-08-26T06:15:00Z
MSD-2182,WH3,609,EA,0,2026-08-26T06:15:00Z
MSD-2220,WH1,428,EA,0,2026-08-11T06:15:00Z
MSD-2164,WH1,976,EA,0,2026-08-22T06:15:00Z
MSD-2028,WH2,894,EA,0,2026-08-15T06:15:00Z
MSD-2062,WH2,1125,EA,0,2026-08-16T06:15:00Z
MSD-2207,WH3,1282,EA,0,2026-08-08T06:15:00Z
MSD-2239,WH2,96,EA,0,2026-08-13T06:15:00Z
MSD-2198,WH1,961,EA,0,2026-08-11T06:15:00Z
MSD-2152,WH1,134,EA,0,2026-08-25T06:15:00Z
MSD-2120,WH2,496,EA,0,2026-08-08T06:15:00Z
MSD-2067,WH3,888,EA,0,2026-08-26T06:15:00Z
MSD-2223,WH1,90,EA,0,2026-08-16T06:15:00Z
MSD-2249,W2,605,EA,0,2026-09-03T06:15:00Z
MSD-2036,WH3,506,EA,0,2026-08-18T06:15:00Z
MSD-2061,WH3,330,EA,0,2026-08-12T06:15:00Z
MSD-2091,WH2,322,EA,0,2026-08-23T06:15:00Z
MSD-2230,WH3,1202,EA,0,2026-08-13T06:15:00Z
MSD-2234,WH1,1063,EA,0,2026-08-27T06:15:00Z
MSD-2157,WH1,220,EA,0,2026-08-30T06:15:00Z
MSD-2188,WH1,412,EA,0,2026-09-05T06:15:00Z
MSD-2163,WH3,265,EA,0,2026-08-27T06:15:00Z
MSD-2112,WH1,1089,EA,0,2026-08-15T06:15:00Z
MSD-2156,WH2,482,EA,4,2026-08-10T06:15:00Z
MSD-2100,WH2,515,EA,0,2026-08-01T06:15:00Z
MSD-2064,WH1,1132,EA,0,2026-08-29T06:15:00Z
MSD-2033,WH2,-8,EA,0,2026-08-11T06:15:00Z
MSD-2117,WH2,322,EA,0,2026-08-18T06:15:00Z
MSD-2003,WH2,133,EA,0,2026-08-01T06:15:00Z
MSD-2047,WH3,1306,EA,0,2026-08-12T06:15:00Z
MSD-2010,WH3,307,EA,11,2026-08-06T06:15:00Z
MSD-2199,WH1,56,EA,0,2026-09-06T06:15:00Z
MSD-2018,WH1,73,EA,0,2026-08-24T06:15:00Z
MSD-2010,WH1,1202,EA,0,2026-08-29T06:15:00Z
MSD-2103,WH2,27,EA,0,2026-08-25T06:15:00Z
MSD-2238,WH2,1296,EA,0,2026-08-23T06:15:00Z
MSD-2227,WH2,366,EA,0,2026-08-09T06:15:00Z
MSD-2145,WH2,676,EA,13,2026-09-06T06:15:00Z
MSD-2081,WH1,695,EA,0,2026-08-01T06:15:00Z
MSD-2234,WH3,154,EA,0,2026-08-11T06:15:00Z
MSD-2189,WH3,259,EA,0,2026-08-27T06:15:00Z
