po_id,sku,warehouse,qty_ordered,qty_received,eta,status,supplier,uom
PO-7808,MSD-2072,WH2,600,600,2026-09-21,RECEIVED,Kestrel Distribution,EA
PO-7789,MSD-2019,WH1,400,0,2026-09-21,BOOKED,Verity Packaging,EA
PO-7735,MSD-2145,WH2,150,0,2026-09-29,IN_TRANSIT,Lakeside Materials,EA
PO-7807,MSD-2094,WH1,100,0,2026-09-28,BOOKED,Kestrel Distribution,EA
PO-7736,MSD-2128,WH1,50,50,2026-09-24,RECEIVED,Ambro Components,EA
PO-7793,MSD-2231,WH2,50,50,2026-09-24,RECEIVED,Kestrel Distribution,EA
PO-7775,MSD-2044,WH2,250,110,2026-09-14,PARTIAL,Kestrel Distribution,EA
PO-7765,MSD-2028,WH2,400,400,2026-09-24,RECEIVED,Northgate Supply,EA
PO-7773,MSD-2167,WH1,250,250,2026-09-13,RECEIVED,Ambro Components,EA
PO-7784,MSD-2232,WH3,400,400,2026-09-19,RECEIVED,Lakeside Materials,EA
PO-7733,MSD-2111,WH2,150,0,2026-09-19,IN_TRANSIT,Lakeside Materials,EA
PO-7743,MSD-2142,WH1,600,0,2026-09-24,IN_TRANSIT,Lakeside Materials,EA
PO-7704,MSD-2165,WH1,50,0,2026-09-10,BOOKED,Northgate Supply,EA
PO-7728,MSD-2087,WH3,250,0,2026-09-30,IN_TRANSIT,Kestrel Distribution,EA
PO-7799,MSD-2094,WH1,400,400,2026-09-14,RECEIVED,Verity Packaging,EA
PO-7708,MSD-2036,WH1,400,400,2026-09-30,RECEIVED,Lakeside Materials,EA
PO-7709,MSD-2108,WH1,200,87,2026-09-12,PARTIAL,Cordell Industrial,EA
PO-7707,MSD-2229,WH1,150,150,2026-09-27,RECEIVED,Cordell Industrial,EA
PO-7783,MSD-2033,WH3,200,0,2026-09-30,IN_TRANSIT,Lakeside Materials,EA
PO-7742,MSD-2100,WH1,50,0,2026-09-12,BOOKED,Ambro Components,EA
PO-7763,MSD-2009,WH1,200,0,2026-09-19,IN_TRANSIT,Northgate Supply,EA
PO-7754,MSD-2166,WH3,250,113,2026-09-25,PARTIAL,Cordell Industrial,EA
