sku,location,date,opening_on_hand,receipts,shipments,adjustments,closing_on_hand
MSD-2001,WH3,2026-03-13,501,0,0,0,501
MSD-2001,WH3,2026-03-14,501,0,0,0,501
MSD-2001,WH3,2026-03-15,501,0,0,0,501
MSD-2001,WH3,2026-03-16,501,0,0,0,501
MSD-2001,WH3,2026-03-17,501,100,0,0,601
MSD-2001,WH3,2026-03-18,601,0,0,0,601
MSD-2001,WH3,2026-03-19,601,0,0,0,601
MSD-2001,WH3,2026-03-20,601,0,0,0,601
MSD-2001,WH3,2026-03-21,601,0,0,0,601
MSD-2001,WH3,2026-03-22,601,0,0,0,601
MSD-2001,WH3,2026-03-23,601,0,0,0,601
MSD-2001,WH3,2026-03-24,601,0,0,0,601
MSD-2001,WH3,2026-03-25,601,0,0,0,601
MSD-2001,WH3,2026-03-26,601,100,0,0,701
MSD-2001,WH3,2026-03-27,701,0,0,0,701
MSD-2001,WH3,2026-03-28,701,0,0,0,701
MSD-2001,WH3,2026-03-29,701,0,0,0,701
MSD-2001,WH3,2026-03-30,701,200,0,0,901
MSD-2001,WH3,2026-03-31,901,0,0,0,901
MSD-2001,WH3,2026-04-01,901,0,0,0,901
MSD-2001,WH3,2026-04-02,901,0,0,0,901
MSD-2001,WH3,2026-04-03,901,0,0,0,901
MSD-2001,WH3,2026-04-04,901,0,0,-1,900
MSD-2001,WH3,2026-04-05,900,0,0,0,900
MSD-2001,WH3,2026-04-06,900,0,0,0,900
MSD-2001,WH3,2026-04-07,900,0,0,-5,895
MSD-2001,WH3,2026-04-08,895,0,0,0,895
MSD-2001,WH3,2026-04-09,895,0,0,0,895
MSD-2001,WH3,2026-04-10,895,0,0,0,895
MSD-2001,WH3,2026-04-11,895,0,0,0,895
MSD-2001,WH3,2026-04-12,895,0,0,0,895
MSD-2001,WH3,2026-04-13,895,0,0,0,895
MSD-2001,WH3,2026-04-14,895,0,0,0,895
MSD-2001,WH3,2026-04-15,895,0,0,0,895
MSD-2001,WH3,2026-04-16,895,0,0,0,895
MSD-2001,WH3,2026-04-17,895,0,0,0,895
MSD-2001,WH3,2026-04-18,895,0,0,0,895
MSD-2001,WH3,2026-04-19,895,0,0,0,895
