sku,description,category,unit_cost,unit_price,safety_stock,abc_class
MSD-2001,Stretch wrap M8,PACKAGING,5.54,9.53,0,C
MSD-2002,Safety goggle XL,PPE,1.42,2.37,0,C
MSD-2003,Terminal block XL,ELECTRICAL,60.15,92.51,0,B
MSD-2004,Microfibre cloth Large,JANITORIAL,28.53,49.12,0,C
MSD-2005,Brake pad set XL,AUTOMOTIVE,69.56,106.55,0,C
MSD-2006,"Lock washer 3/8""",FASTENERS,37.04,66.25,20,B
MSD-2008,Hard hat XL,PPE,24.37,39.72,0,C
MSD-2009,Cable tie M6,ELECTRICAL,3.53,5.94,40,A
MSD-2010,Floor cleaner 12mm,JANITORIAL,10.31,16.14,0,C
MSD-2011,Oil filter Heavy duty,AUTOMOTIVE,39.03,52.15,0,C
MSD-2012,Anchor set Heavy duty,FASTENERS,67.92,94.89,20,B
MSD-2013,"Pallet wrap 3/8""",PACKAGING,51.38,72.7,0,C
MSD-2014,Ear defender Large,PPE,76.4,121.24,0,C
MSD-2015,Conduit clip Heavy duty,ELECTRICAL,19.55,27.33,25,B
MSD-2016,Paper towel M6,JANITORIAL,30.79,48.1,0,C
MSD-2017,Wiper blade Heavy duty,AUTOMOTIVE,64.33,112.94,0,C
MSD-2018,Machine screw Standard,FASTENERS,21.08,38.62,80,A
MSD-2019,Void fill M6,PACKAGING,34.87,48.56,0,C
MSD-2020,"Nitrile glove 3/8""",PPE,17.75,32.44,0,C
MSD-2021,Cable gland Heavy duty,ELECTRICAL,15.33,23.82,20,B
MSD-2022,Bin liner 12mm,JANITORIAL,59.2,89.78,0,C
MSD-2023,Air filter Heavy duty,AUTOMOTIVE,65.47,100.6,0,C
MSD-2024,Threaded rod 12mm,FASTENERS,60.37,93.44,25,B
MSD-2025,Corrugated carton 12mm,PACKAGING,57.48,95.21,0,C
MSD-2026,Hi-vis vest M8,PPE,36.24,66.42,0,C
MSD-2027,Junction box 12mm,ELECTRICAL,23.96,34.35,40,A
MSD-2028,Sanitiser XL,JANITORIAL,17.56,26.73,0,C
MSD-2029,Spark plug Heavy duty,AUTOMOTIVE,2.91,4.09,0,C
MSD-2030,Hex bolt 12mm,FASTENERS,16.89,23.35,25,B
MSD-2031,Stretch wrap M6,PACKAGING,54.24,83.22,0,C
MSD-2032,Safety goggle Standard,PPE,76.72,114.24,0,C
MSD-2033,Terminal block Standard,ELECTRICAL,74.57,132.21,0,B
MSD-2034,Microfibre cloth Large,JANITORIAL,46.66,59.74,0,C
MSD-2035,Brake pad set XL,AUTOMOTIVE,29.55,41.35,0,C
MSD-2036,Lock washer Standard,FASTENERS,67.62,123.46,80,A
MSD-2037,"Poly mailer 3/8""",PACKAGING,40.14,52.94,0,C
MSD-2038,Hard hat Standard,PPE,76.9,120.37,0,C
MSD-2039,Cable tie Heavy duty,ELECTRICAL,36.84,54.24,20,B
MSD-2040,Floor cleaner Standard,JANITORIAL,25.77,35.12,0,C
MSD-2041,Oil filter Standard,AUTOMOTIVE,74.94,110.04,0,C
MSD-2042,Anchor set M8,FASTENERS,37.16,53.55,0,B
MSD-2043,Pallet wrap Large,PACKAGING,17.85,25.82,0,C
MSD-2044,Ear defender Large,PPE,54.12,75.48,0,C
MSD-2045,Conduit clip Large,ELECTRICAL,66.98,93.1,80,A
MSD-2046,Paper towel Standard,JANITORIAL,31.01,47.7,0,C
MSD-2047,Wiper blade 12mm,AUTOMOTIVE,50.44,76.22,0,C
MSD-2048,Machine screw M8,FASTENERS,38.73,68.45,25,B
MSD-2049,Void fill XL,PACKAGING,68.48,107.63,0,C
MSD-2050,Nitrile glove 12mm,PPE,49.85,89.39,0,C
MSD-2051,Cable gland M8,ELECTRICAL,26.95,39.59,0,B
MSD-2052,Bin liner 12mm,JANITORIAL,28.45,39.04,0,C
MSD-2053,Air filter 12mm,AUTOMOTIVE,58.38,77.67,0,C
MSD-2054,Threaded rod M6,FASTENERS,35.72,58.62,40,A
MSD-2055,Corrugated carton 12mm,PACKAGING,35.67,54.95,0,C
MSD-2056,Hi-vis vest 12mm,PPE,44.54,70.73,0,C
MSD-2057,Junction box 12mm,ELECTRICAL,14.45,19.27,20,B
MSD-2058,Sanitiser M8,JANITORIAL,18.25,24.52,0,C
MSD-2059,Spark plug XL,AUTOMOTIVE,27.2,34.86,0,C
MSD-2060,Hex bolt M8,FASTENERS,35.85,65.56,25,B
MSD-2061,Stretch wrap XL,PACKAGING,7.93,13.19,0,C
MSD-2062,Safety goggle 12mm,PPE,59.23,78.86,0,C
MSD-2063,Terminal block XL,ELECTRICAL,59.81,88.92,80,A
MSD-2064,Microfibre cloth M8,JANITORIAL,15.35,21.95,0,C
MSD-2065,Brake pad set Heavy duty,AUTOMOTIVE,46.42,79.48,0,C
MSD-2066,Lock washer M8,FASTENERS,8.17,13.04,20,B
MSD-2067,Poly mailer Standard,PACKAGING,2.99,5.48,0,C
MSD-2068,Hard hat 12mm,PPE,20.96,29.33,0,C
MSD-2069,Cable tie Heavy duty,ELECTRICAL,47.71,66.11,20,B
MSD-2070,"Floor cleaner 3/8""",JANITORIAL,63.86,101.94,0,C
MSD-2071,Oil filter Standard,AUTOMOTIVE,56.4,84.23,0,C
MSD-2072,Anchor set XL,FASTENERS,21.96,37.56,80,A
MSD-2073,Pallet wrap XL,PACKAGING,44.53,80.12,0,C
MSD-2074,"Ear defender 3/8""",PPE,29.39,46.63,0,C
MSD-2075,Conduit clip XL,ELECTRICAL,24.72,39.41,0,B
MSD-2076,Paper towel Heavy duty,JANITORIAL,39.72,66.75,0,C
MSD-2077,Wiper blade Heavy duty,AUTOMOTIVE,64.87,84.16,0,C
MSD-2078,Machine screw XL,FASTENERS,42.27,58.27,20,B
MSD-2079,Void fill M8,PACKAGING,43.5,66.32,0,C
MSD-2080,Nitrile glove Large,PPE,13.86,21.99,0,C
MSD-2081,Cable gland M8,ELECTRICAL,15.45,22.96,40,A
MSD-2082,Bin liner Heavy duty,JANITORIAL,51.81,93.91,0,C
MSD-2083,Air filter Standard,AUTOMOTIVE,20.89,34.08,0,C
MSD-2084,"Threaded rod 3/8""",FASTENERS,64.12,85.63,20,B
MSD-2085,Corrugated carton Standard,PACKAGING,74.65,132.05,0,C
MSD-2086,Hi-vis vest Heavy duty,PPE,76.95,124.09,0,C
MSD-2087,Junction box M6,ELECTRICAL,63.36,86.41,25,B
