sku,family,available,atp,legacy_ops_number,on_hand,reserved,unsellable,safety_stock,inbound,days_of_cover,confidence,flags
ADH-1990,Adhesives,712,712,822,822,104,6,0,0,215.9,high,
ADH-1997,Adhesives,356,356,567,567,177,0,34,0,250.5,high,
ADH-2004,Adhesives,446,446,505,505,59,0,0,512,39.0,high,
ADH-2011,Adhesives,124,196,144,144,12,0,8,72,462.0,high,
ADH-2018,Adhesives,54,54,61,61,6,1,0,17,None,high,
ADH-2025,Adhesives,144,394,148,148,0,4,0,250,181.8,high,MISSING_IN_SOURCE:orders
BLT-1440,Drive belts,178,178,211,211,27,0,6,52,953.7,high,
BLT-1447,Drive belts,123,180,133,133,4,1,5,57,1172.1,high,
BLT-1454,Drive belts,28,28,96,96,68,0,0,0,4.4,high,PREDICTED_STOCKOUT
BLT-1461,Drive belts,45,45,63,63,16,0,2,0,None,high,
BLT-1468,Drive belts,119,119,177,177,56,2,0,0,263.6,high,
BLT-1475,Drive belts,41,64,47,47,5,0,1,23,None,high,
CTN-1220,Cartons,734,1248,814,814,67,13,0,514,76.7,high,
CTN-1227,Cartons,814,814,840,840,14,12,0,0,290.1,high,
CTN-1234,Cartons,314,314,314,314,0,0,0,0,165.3,medium,MISSING_IN_SOURCE:orders
CTN-1241,Cartons,0,0,0,,13,0,0,0,0.0,low,EXCLUDED_UOM_UNKNOWN|MISSING_IN_SOURCE:wms
CTN-1248,Cartons,875,875,934,934,55,4,0,412,54.8,high,
CTN-1255,Cartons,2199,3445,2502,2502,303,0,0,1246,604.3,high,
ELC-1770,Electrical,48,48,73,73,25,0,0,0,None,high,
ELC-1777,Electrical,31,431,78,78,33,0,14,598,3.4,high,PREDICTED_STOCKOUT
ELC-1784,Electrical,227,227,265,265,38,0,0,0,634.0,high,
ELC-1791,Electrical,133,239,135,135,0,2,0,106,80.5,high,MISSING_IN_SOURCE:orders
ELC-1798,Electrical,279,279,366,366,73,0,14,0,166.0,high,
ELC-1805,Electrical,226,226,296,296,70,0,0,118,85.6,high,
FLT-1330,Filtration,34,59,50,50,11,1,4,25,None,high,
FLT-1337,Filtration,122,122,152,152,6,6,18,116,32.8,high,
FLT-1344,Filtration,28,28,38,38,9,0,1,0,None,high,
FLT-1351,Filtration,294,395,308,308,0,0,14,101,575.1,high,MISSING_IN_SOURCE:orders
FLT-1358,Filtration,82,170,85,85,3,0,0,88,634.5,high,
FLT-1365,Filtration,114,114,194,194,78,2,0,209,355.9,high,
FST-1880,Fasteners,2189,2189,2620,2620,317,0,114,1314,237.0,high,
FST-1887,Fasteners,3908,3908,4171,4171,0,0,263,1249,199.6,high,MISSING_IN_SOURCE:orders
FST-1894,Fasteners,0,0,96,96,101,0,280,0,0.0,high,OVERSOLD
FST-1901,Fasteners,2998,2998,3398,3398,400,0,0,3797,281.5,high,
FST-1908,Fasteners,2126,2126,4051,4051,1547,0,378,0,70.0,high,
FST-1915,Fasteners,4206,4206,4206,4206,0,0,0,0,71.5,medium,MISSING_IN_SOURCE:orders
GHST-0001,Unclassified,0,20,0,,0,0,0,20,None,low,ORPHAN_SKU_IN_SHIPMENTS|MISSING_IN_SOURCE:wms|MISSING_IN_SOURCE:orders|OVERDUE_INBOUND
HDW-1000,Hardware,54,54,54,54,0,0,0,0,353.5,medium,MISSING_IN_SOURCE:orders
HDW-1007,Hardware,135,135,186,186,116,7,0,57,210.5,high,OVERSOLD
HDW-1014,Hardware,145,145,229,229,91,9,0,0,370.3,high,OVERSOLD
HDW-1021,Hardware,472,472,555,555,83,0,0,0,320.6,high,
HDW-1028,Hardware,379,379,554,554,170,5,0,391,71.4,high,
HDW-1035,Hardware,423,423,564,564,141,0,0,0,73.6,high,
LUB-1550,Lubricants,342,342,420,420,48,2,28,0,188.0,high,
LUB-1557,Lubricants,219,219,219,219,0,0,0,0,477.7,medium,MISSING_IN_SOURCE:orders|SHRINKAGE_SUSPECTED
LUB-1564,Lubricants,216,216,220,220,0,4,0,0,40.7,medium,MISSING_IN_SOURCE:orders
LUB-1571,Lubricants,201,201,220,220,0,0,19,0,235.5,medium,MISSING_IN_SOURCE:orders
LUB-1578,Lubricants,282,282,307,307,23,2,0,0,579.1,high,
LUB-1585,Lubricants,174,386,317,317,114,0,29,212,227.4,high,
NEW-8801,Unclassified,0,0,0,,12,0,0,0,None,low,ORPHAN_SKU_IN_ORDERS|MISSING_IN_SOURCE:wms
PKG-1110,Packaging,2038,2867,2506,2506,468,0,0,829,235.5,high,OVERDUE_INBOUND
PKG-1117,Packaging,508,1998,826,826,319,4,0,1490,80.1,high,
PKG-1124,Packaging,1695,1695,1926,1926,231,0,0,1436,386.8,high,
PKG-1131,Packaging,884,884,1291,1291,407,0,0,0,21.0,high,
PKG-1138,Packaging,2704,2704,2831,2831,127,0,0,2670,90.9,high,
PKG-1145,Packaging,1365,1365,2134,2134,769,0,0,0,95.3,high,
SFT-1660,Safety supplies,762,762,780,780,18,0,0,0,140.0,high,
SFT-1667,Safety supplies,0,0,42,42,33,2,60,0,0.0,high,BELOW_SAFETY_STOCK
SFT-1674,Safety supplies,58,58,63,63,1,0,4,0,108.5,high,
SFT-1681,Safety supplies,117,117,127,127,10,0,0,0,4212.0,high,
SFT-1688,Safety supplies,360,360,491,491,103,0,28,0,52.5,high,
SFT-1695,Safety supplies,523,1002,644,644,114,7,0,479,46.7,high,
